key,full_name,category
薇姿,欧莱雅(中国)有限公司,美妆
理肤泉,欧莱雅(中国)有限公司,美妆
高丝,高丝化妆品销售(中国)有限公司,美妆
花王,花王(中国)投资有限公司,日化
舒肤佳,宝洁(中国)有限公司,日化
力士,联合利华(中国)投资有限公司,日化
清扬,联合利华(中国)投资有限公司,日化
多芬,联合利华(中国)投资有限公司,日化
滴露,利洁时家化(中国)有限公司,日化
威露士,威莱(广州)日用品有限公司,日化
维达,维达纸业(中国)有限公司,日化
清风,金红叶纸业集团有限公司,日化
心相印,恒安国际集团有限公司,日化
五羊,广州五羊化妆品有限公司,日化
大宝,强生(中国)有限公司,美妆
郁美净,天津郁美净集团有限公司,美妆
百润,上海百润香精香料股份有限公司,食品饮料
江小白,重庆江记酒庄有限公司,食品饮料
梅见,重庆江记酒庄有限公司,食品饮料
锐澳,上海巴克斯酒业有限公司,食品饮料
哈尔滨啤酒,哈尔滨啤酒集团有限公司,食品饮料
燕京,北京燕京啤酒股份有限公司,食品饮料
乌苏,新疆乌苏啤酒有限责任公司,食品饮料
水井坊,四川水井坊股份有限公司,食品饮料
剑南春,四川绵竹剑南春酒厂有限公司,食品饮料
郎酒,四川郎酒集团有限责任公司,食品饮料
习酒,贵州习酒投资控股集团有限责任公司,食品饮料
古井贡酒,安徽古井贡酒股份有限公司,食品饮料
今世缘,江苏今世缘酒业股份有限公司,食品饮料
迎驾贡酒,安徽迎驾贡酒股份有限公司,食品饮料
口子窖,安徽口子酒业股份有限公司,食品饮料
舍得,舍得酒业股份有限公司,食品饮料
酒鬼酒,酒鬼酒股份有限公司,食品饮料
李宁电商,李宁(中国)体育用品有限公司,运动
安踏儿童,安踏体育用品集团有限公司,运动
斐乐,安踏体育用品集团有限公司,运动
始祖鸟,安踏体育用品集团有限公司,运动
匹克,泉州匹克体育用品有限公司,运动
回力,上海回力鞋业有限公司,运动
飞跃,上海生和鞋业有限公司,运动
人本,浙江人本鞋业有限公司,运动
骆驼,骆驼(中国)户外用品有限公司,运动
探路者,探路者控股集团股份有限公司,运动
伯希和,北京伯希和户外用品有限公司,运动
蕉下,上海蕉下贸易有限公司,服饰
蕉内,三只松鼠(深圳)内衣科技有限公司,服饰
Ubras,彼雅璞(上海)信息科技有限公司,服饰
内外,上海内外服饰有限公司,服饰
蕉下服饰,深圳蕉下科技有限公司,服饰
三顿半,长沙三顿半咖啡有限公司,餐饮
Manner,上海茵赫实业有限公司,餐饮
Mstand,上海爱茉餐饮管理有限公司,餐饮
挪瓦,上海鸣珠珠网络科技有限公司,餐饮
CoCo,上海肇民餐饮管理有限公司,餐饮
益禾堂,武汉熠汇饮品科技有限公司,餐饮
7分甜,上海七分甜餐饮管理有限公司,餐饮
悸动,上海悸动餐饮管理有限公司,餐饮
快乐柠檬,上海茶暖餐饮管理有限公司,餐饮
正新鸡排,正新食品(福建)有限公司,餐饮
