key,full_name,category
蔚来,上海蔚来汽车有限公司,汽车
小鹏,广州小鹏汽车科技有限公司,汽车
吉利,浙江吉利控股集团有限公司,汽车
奇瑞,奇瑞汽车股份有限公司,汽车
长城,长城汽车股份有限公司,汽车
长安,重庆长安汽车股份有限公司,汽车
广汽,广州汽车集团股份有限公司,汽车
上汽,上海汽车集团股份有限公司,汽车
一汽,中国第一汽车集团有限公司,汽车
特斯拉,特斯拉(上海)有限公司,汽车
宁德时代,宁德时代新能源科技股份有限公司,新能源
隆基,隆基绿能科技股份有限公司,新能源
通威,通威股份有限公司,新能源
晶科,晶科能源股份有限公司,新能源
阳光电源,阳光电源股份有限公司,新能源
亿纬锂能,惠州亿纬锂能股份有限公司,新能源
国轩高科,合肥国轩高科动力能源有限公司,新能源
农夫山泉,农夫山泉股份有限公司,食品饮料
伊利,内蒙古伊利实业集团股份有限公司,食品饮料
蒙牛,内蒙古蒙牛乳业(集团)股份有限公司,食品饮料
娃哈哈,杭州娃哈哈集团有限公司,食品饮料
康师傅,康师傅方便面投资(中国)有限公司,食品饮料
统一,统一企业(中国)投资有限公司,食品饮料
旺旺,旺旺集团,食品饮料
三只松鼠,三只松鼠股份有限公司,食品饮料
良品铺子,良品铺子股份有限公司,食品饮料
百草味,杭州郝姆斯食品有限公司,食品饮料
洽洽,洽洽食品股份有限公司,食品饮料
来伊份,上海来伊份股份有限公司,食品饮料
盐津铺子,盐津铺子食品股份有限公司,食品饮料
卫龙,漯河市卫龙商贸有限公司,食品饮料
海底捞,四川海底捞餐饮股份有限公司,餐饮
喜茶,深圳喜茶餐饮管理股份有限公司,餐饮
奈雪的茶,深圳市品道餐饮管理有限公司,餐饮
蜜雪冰城,蜜雪冰城股份有限公司,餐饮
瑞幸,瑞幸咖啡(中国)有限公司,餐饮
星巴克,星巴克企业管理(中国)有限公司,餐饮
麦当劳,麦当劳(中国)有限公司,餐饮
肯德基,百胜(中国)投资有限公司,餐饮
老乡鸡,安徽老乡鸡餐饮股份有限公司,餐饮
茶百道,四川茶百道实业股份有限公司,餐饮
古茗,浙江古茗科技有限公司,餐饮
沪上阿姨,上海臻敬实业有限公司,餐饮
书亦烧仙草,四川书亦烧仙草餐饮管理有限公司,餐饮
霸王茶姬,北京茶姬餐饮管理有限公司,餐饮
珀莱雅,珀莱雅化妆品股份有限公司,美妆
完美日记,广州逸仙电子商务有限公司,美妆
花西子,浙江宜格美妆集团有限公司,美妆
薇诺娜,贝泰妮生物科技企业(上海)有限公司,美妆
百雀羚,上海百雀羚日用化学有限公司,美妆
自然堂,伽蓝(集团)股份有限公司,美妆
欧莱雅,欧莱雅(中国)有限公司,美妆
宝洁,广州宝洁有限公司,美妆
联合利华,联合利华(中国)投资有限公司,日化
蓝月亮,蓝月亮(中国)有限公司,日化
立白,广州立白企业集团有限公司,日化
纳爱斯,纳爱斯集团有限公司,日化
云南白药,云南白药集团股份有限公司,医药
同仁堂,北京同仁堂科技发展股份有限公司,医药
片仔癀,漳州片仔癀药业股份有限公司,医药
东阿阿胶,东阿阿胶股份有限公司,医药
仁和,仁和药业股份有限公司,医药
汤臣倍健,汤臣倍健股份有限公司,医药
李宁,李宁(中国)体育用品有限公司,运动
安踏,安踏体育用品集团有限公司,运动
特步,特步(中国)有限公司,运动
鸿星尔克,鸿星尔克(厦门)实业有限公司,运动
361度,三六一度(中国)有限公司,运动
迪卡侬,迪卡侬(上海)体育用品有限公司,运动
耐克,耐克体育(中国)有限公司,运动
阿迪达斯,阿迪达斯体育(中国)有限公司,运动
优衣库,迅销(中国)商贸有限公司,服饰
ZARA,飒拉商业(上海)有限公司,服饰
海澜之家,海澜之家集团股份有限公司,服饰
波司登,波司登羽绒服装有限公司,服饰
森马,浙江森马服饰股份有限公司,服饰
太平鸟,宁波太平鸟时尚服饰股份有限公司,服饰
江南布衣,杭州江南布衣服饰有限公司,服饰
周大福,周大福珠宝金行(深圳)有限公司,珠宝
老凤祥,老凤祥股份有限公司,珠宝
周生生,周生生珠宝金行(重庆)有限公司,珠宝
六福,六福珠宝(广州)有限公司,珠宝
DR,迪阿股份,珠宝
泡泡玛特,北京泡泡玛特文化创意有限公司,文创
晨光,上海晨光文具股份有限公司,文创
得力,得力集团有限公司,文创
广博,广博集团股份有限公司,文创
公牛,公牛集团股份有限公司,家居
欧派,欧派家居集团股份有限公司,家居
索菲亚,索菲亚家居股份有限公司,家居
顾家,顾家家居股份有限公司,家居
慕思,慕思健康睡眠股份有限公司,家居
宜家,宜家(中国)投资有限公司,家居
居然之家,北京居然之家家居新零售连锁集团有限公司,家居
红星美凯龙,红星美凯龙家居集团股份有限公司,家居
三一,三一重工股份有限公司,制造
徐工,徐工集团工程机械股份有限公司,制造
中联重科,中联重科股份有限公司,制造
中国中车,中国中车股份有限公司,制造
大疆,深圳市大疆创新科技有限公司,制造
海康威视,杭州海康威视数字技术股份有限公司,制造
大华,浙江大华技术股份有限公司,制造
立讯精密,立讯精密工业股份有限公司,制造
歌尔,歌尔股份有限公司,制造
京东方,京东方科技集团股份有限公司,制造
隆平高科,袁隆平农业高科技股份有限公司,农业
牧原,牧原食品股份有限公司,农业
温氏,温氏食品集团股份有限公司,农业
新希望,新希望六和股份有限公司,农业
金龙鱼,益海嘉里金龙鱼粮油食品股份有限公司,食品饮料
鲁花,山东鲁花集团有限公司,食品饮料
海天,佛山市海天调味食品股份有限公司,食品饮料
李锦记,李锦记(新会)食品有限公司,食品饮料
恒顺,江苏恒顺醋业股份有限公司,食品饮料
涪陵榨菜,重庆市涪陵榨菜集团股份有限公司,食品饮料
椰树,椰树集团海南椰汁饮料有限公司,食品饮料
元气森林,元气森林(北京)食品科技集团有限公司,食品饮料
东鹏,深圳市东鹏饮料实业有限公司,食品饮料
红牛,红牛维他命饮料有限公司,食品饮料
青岛啤酒,青岛啤酒股份有限公司,食品饮料
雪花,华润雪花啤酒(中国)有限公司,食品饮料
百威,百威投资(中国)有限公司,食品饮料
茅台,贵州茅台酒股份有限公司,食品饮料
五粮液,宜宾五粮液股份有限公司,食品饮料
泸州老窖,泸州老窖股份有限公司,食品饮料
洋河,江苏洋河酒厂股份有限公司,食品饮料
山西汾酒,山西杏花村汾酒厂股份有限公司,食品饮料
中国平安,中国平安保险(集团)股份有限公司,金融
中国人寿,中国人寿保险股份有限公司,金融
中国人保,中国人民财产保险股份有限公司,金融
泰康,泰康人寿保险有限责任公司,金融
招商银行,招商银行股份有限公司,金融
工商银行,中国工商银行股份有限公司,金融
建设银行,中国建设银行股份有限公司,金融
农业银行,中国农业银行股份有限公司,金融
中国银行,中国银行股份有限公司,金融
交通银行,交通银行股份有限公司,金融
邮储银行,中国邮政储蓄银行股份有限公司,金融
中信证券,中信证券股份有限公司,金融
国泰君安,国泰君安证券股份有限公司,金融
华泰证券,华泰证券股份有限公司,金融
东方财富,东方财富信息股份有限公司,金融
老干妈,贵阳南明老干妈风味食品有限责任公司,食品饮料
王守义,驻马店市王守义十三香调味品集团有限公司,食品饮料
白象,白象食品股份有限公司,食品饮料
今麦郎,今麦郎食品股份有限公司,食品饮料
五谷道场,克明面业股份有限公司,食品饮料
妙可蓝多,妙可蓝多食品科技股份有限公司,食品饮料
飞鹤,黑龙江飞鹤乳业有限公司,食品饮料
君乐宝,君乐宝乳业集团股份有限公司,食品饮料
光明,光明乳业股份有限公司,食品饮料
三元,北京三元食品股份有限公司,食品饮料
养乐多,养乐多(中国)投资有限公司,食品饮料
王老吉,广州王老吉大健康产业有限公司,食品饮料
加多宝,加多宝(中国)饮料有限公司,食品饮料
露露,河北承德露露股份有限公司,食品饮料
六个核桃,河北养元智汇饮品股份有限公司,食品饮料
脉动,乐百氏(广东)食品饮料有限公司,食品饮料
依云,可口可乐装瓶商生产(东莞)有限公司,食品饮料
怡宝,华润怡宝饮料(中国)有限公司,食品饮料
周黑鸭,湖北周黑鸭食品有限公司,餐饮
绝味,绝味食品股份有限公司,餐饮
紫燕,紫燕百味鸡食品股份有限公司,餐饮
沙县小吃,沙县小吃集团餐饮连锁管理有限公司,餐饮
正新,正新食品(福建)有限公司,餐饮
华莱士,福建华莱士食品股份有限公司,餐饮
德克士,顶巧餐饮服务咨询(上海)有限公司,餐饮
呷哺呷哺,呷哺呷哺餐饮管理(中国)控股有限公司,餐饮
西贝,内蒙古西贝餐饮集团有限公司,餐饮
太二,深圳市太二餐饮连锁企业股份有限公司,餐饮
绿茶,绿茶餐厅餐饮管理有限公司,餐饮
外婆家,杭州外婆家餐饮管理有限公司,餐饮
全聚德,中国全聚德(集团)股份有限公司,餐饮
稻香村,北京稻香村食品有限责任公司,食品饮料
嘉华,云南嘉华食品有限公司,食品饮料
鲍师傅,北京鲍才胜餐饮管理有限公司,餐饮
泸溪河,南京泸溪河食品科技有限公司,食品饮料
詹记,武汉詹王食品有限公司,食品饮料
墨茉点心局,长沙墨茉餐饮管理有限公司,餐饮
虎头局,上海万物有灵餐饮管理有限公司,餐饮
相宜本草,上海相宜本草化妆品股份有限公司,美妆
韩束,上海上美化妆品股份有限公司,美妆
橘朵,上海橘宜化妆品有限公司,美妆
colorkey,广州卡洛莱化妆品有限公司,美妆
毛戈平,毛戈平化妆品股份有限公司,美妆
资生堂,资生堂(中国)投资有限公司,美妆
雅诗兰黛,雅诗兰黛(上海)商贸有限公司,美妆
SK-II,宝洁(中国)有限公司,美妆
高丝,高丝化妆品销售(中国)有限公司,美妆
花王,花王(中国)投资有限公司,日化
滴露,利洁时家化(中国)有限公司,日化
威露士,威莱(广州)日用品有限公司,日化
维达,维达纸业(中国)有限公司,日化
清风,金红叶纸业集团有限公司,日化
心相印,恒安国际集团有限公司,日化
五羊,广州五羊化妆品有限公司,日化
大宝,强生(中国)有限公司,美妆
郁美净,天津郁美净集团有限公司,美妆
百润,上海百润香精香料股份有限公司,食品饮料
江小白,重庆江记酒庄有限公司,食品饮料
锐澳,上海巴克斯酒业有限公司,食品饮料
哈尔滨啤酒,哈尔滨啤酒集团有限公司,食品饮料
燕京,北京燕京啤酒股份有限公司,食品饮料
乌苏,新疆乌苏啤酒有限责任公司,食品饮料
水井坊,四川水井坊股份有限公司,食品饮料
剑南春,四川绵竹剑南春酒厂有限公司,食品饮料
郎酒,四川郎酒集团有限责任公司,食品饮料
习酒,贵州习酒投资控股集团有限责任公司,食品饮料
古井贡酒,安徽古井贡酒股份有限公司,食品饮料
今世缘,江苏今世缘酒业股份有限公司,食品饮料
迎驾贡酒,安徽迎驾贡酒股份有限公司,食品饮料
口子窖,安徽口子酒业股份有限公司,食品饮料
舍得,舍得酒业股份有限公司,食品饮料
酒鬼酒,酒鬼酒股份有限公司,食品饮料
匹克,泉州匹克体育用品有限公司,运动
回力,上海回力鞋业有限公司,运动
飞跃,上海生和鞋业有限公司,运动
人本,浙江人本鞋业有限公司,运动
骆驼,骆驼(中国)户外用品有限公司,运动
探路者,探路者控股集团股份有限公司,运动
伯希和,北京伯希和户外用品有限公司,运动
蕉下,上海蕉下贸易有限公司,服饰
蕉内,三只松鼠(深圳)内衣科技有限公司,服饰
Ubras,彼雅璞(上海)信息科技有限公司,服饰
内外,上海内外服饰有限公司,服饰
蕉下服饰,深圳蕉下科技有限公司,服饰
三顿半,长沙三顿半咖啡有限公司,餐饮
Manner,上海茵赫实业有限公司,餐饮
Mstand,上海爱茉餐饮管理有限公司,餐饮
挪瓦,上海鸣珠珠网络科技有限公司,餐饮
CoCo,上海肇民餐饮管理有限公司,餐饮
益禾堂,武汉熠汇饮品科技有限公司,餐饮
7分甜,上海七分甜餐饮管理有限公司,餐饮
悸动,上海悸动餐饮管理有限公司,餐饮
快乐柠檬,上海茶暖餐饮管理有限公司,餐饮
